address,cap_amount
0x7fe5De3Ec7A08E5E8ED1F192735a4F44cDd0267B,0.9
0xF62bdAFc4cB3808346c5854c0Fd129F2a22c02E0,0.9
0xE10516D356828fdEdAfC026E4261423A39Ad5Bb4,0.9
0x6fb3FC8c2C61995331Df0F9C2c66bc25F9638583,0.9
0x53eB9A6f34e1FeAD9Cf1013c7058679bcA6Acc43,0.9
0x938EF8eB7d92B548714A1c2f4cF02581b449b68f,0.9
0x6A4D00bc2a921e9Bf5397cEcBa78c6802BE3702F,0.9
0x8F0Dc000D3D4cEc7E8233cfEA94c5324126EB5aB,0.9
0xfaDcd0763b54952bDc1651E9ED0f54140d4E4BC7,0.9
0xCa8D695dC154E1f79565E53e06970BA395C5FD57,0.9
0xaa1B325cD67528a78E202A79933154d024B812Af,0.9
0xa9f152266b618ae2629f356f7185b660c3eb889a,0.9
0x1D1277df9593cAd6344f4f72146139241F44D184,0.9
0x103a1f94bc38313af8724777da71201e40adef5a,0.9
0x3BE70b71a8F13fd703bC7f433b7Ada57b9172262,0.9
0x1a2A910185467DAb98C3C04EEE38ac6dBbC3B0d5,0.9
0x43f22719fe3cbdeafbf425bdecd27da75f1605a1,0.9
0x5B443cD7739B4eb26b7dB17f9ee556d75a069401,0.9
0xeE5eE701DC75947405188af3125538Fb77A59976,0.9
0x9578380ECb0bb6E546C89fb595090645f8AbFfa2,0.9
0x8e900d7cc784a47b2f5b4baf0871aadf792d0cc1,0.9
0xa08dd35a881820a990a615680b0c20d9622adbcc,0.9
0xAbd263D64781A01fe3D9b17F12FC95f6FcCB2943,0.9
0xa4a5219b6cd857c05fad946359a25f0c7d603fa2,0.9
0x93ADf181c0D477568aa8c18014cED7fE5074b561,0.9
0x3fE5041f8fF5d8efa33087699D95bEE807a44940,0.9
0x5aE5e5278CE81A34B1FdFb737F7A6ADaF8D110c4,0.9
0x946dc45faf4c64bf98fa79bde6099ae1d1c7aa34,0.9
0xbA2dc20329b21370b91E1306B1c0B4C0Ff9ADbD5,0.9
0x714D7baF5067855EBa892296B6C6D94a09857010,0.9
0x5505F7442fcBAD24F65265c422f8A055993815c4,0.9
0x721C339626f8111831402C8b3EFae24069d3320C,0.9
0x58c4f03a954e4cbb1b8e204a881a8e9a99d015dd,0.9
0x7da07CB7a0538Cd46f8234F8f61e57404c21DCe1,0.9
0x8d7A429b0b6284806bCd50809c52bA60e849A0F4,0.9
0xbf41f3173c91cdcba6be8f2053d0b518de4aec48,0.9
0xEF4a52d5483049B37cB883539d1B380eeD80a598,0.9
0x09d1fb4f59fDce6aB1a7d31f1309864C5a818b17,0.9
0xDc6BDe1D6c33FFa3B817771a9F5dFd275FD62882,0.9
0xB55a7B37A99e9728EB4d195Ba5645bDd3F66862F,0.9
0xf7476Db5B717aC661C027e684456115ab1e728C3,0.9
0x495B031Ec6E5007E9c5a35B254996A3714DA2c84,0.9
0x7e53AF93688908D67fc3ddcE3f4B033dBc257C20,0.9
0x44E434b0Eb83534b697F9c77eF11fB981B637def,0.9
0xE7548e35Ed9Cb5ff77Dc62D605aF2c6C8A89C3fd,0.9
0xa1958a37c21372482deff4618baebbec23c9a449,0.9
0x3B60E6a4C40615194E6BF2b1F3220fCB910e0516,0.9
0x7bb85b553c04cf2dfcbbdac998ea3621e17236c3,0.9
0x0086eE75D124b0bff167236a1d2cC6101470e3AF,0.9
0x4ffda342db6366e564b28e98dcbc48890ae204ac,0.9
0x874bD44da56299297c94Eb80791d8abc4bA42719,0.9
0x5E2eDa615fe7360f415282AbBcfcAeF720207FB1,0.9
0x4a83A2d95bB61d505EeE428478419EA4799345cd,0.9
0x5866D07A1b9ac4fb62c732e27528206C4Ab78847,0.9
0xA176f59f8A6399136aBE5E30F54136c8f2E68C87,0.9
0xb4bfd9efa6301f1c8cc66110966112a11097c06c,0.9
0xB88CB627F75d59Fd58386c72cc6Ee472d03231d6,0.9
0xaF782115ec0a6c55eb43763eF4Ade8DD4E5A7467,0.9
0xcE2e807a9a529B5220Cf505E2775C8594Ad7C7fB,0.9
0xA7ff0bC6F74fc6C49ccbA87F3df51b1adf98543D,0.9
0x0aE7cfE9354D7c41772b6465659F5866Ba16012e,0.9
0x1e51745BdB4436563097833Ba83DCC51109d9FA8,0.9
0x985B07F774D5bA5482032764e1cE23A8659Bd982,0.9
0xC818285185eC83Be5Ef904D365999fA2733EE36C,0.9
0x03d30736FCc8F0A1630B58CebbE1553F41d51b05,0.9
0xd78089953dBD6602eA74C16BEEB7f4F653CD1a24,0.9
0x865D7eb5db37cc02ec209DD778f4e3851a421A20,0.9
0xe95Ab07A55e8489FE8E81e3281c8b3fD95C7D8AF,0.9
0x4Cf8BE01027aD66c4939181a5b8c5B2b281771f0,0.9
0xF33c07b1e0E16F97fD04F9BCE4Db4783eaAB3815,0.9
0xfbd08fD2B2c7148b4e38624158C3155b5B49F886,0.9
0x28aa4F9ffe21365473B64C161b566C3CdeAD0108,0.9
0xE69ebe4695590F18946a76D931aed1a5Fabb7282,0.9
0x1f452ea54d4d934afadc300c61ca0a3b1bbde958,0.9
0xB1fC41Cbad16caFDfC2ED196c7fe515DfB6a1577,0.9
0x8DF5F70Ba13a793f96B90C27aad672cAE1c2403E,0.9
0xC4AE5f9b4953B7cA407826447bb937f38b05514D,0.9
0x9a0Aee58B3673579308c9d9FCD43Cd00da5074E1,0.9
0x08BA4Fb9a64b56e38b2930504E7BaF33A36611b3,0.9
0x88b8073739f867126c96f392512ddb34ef3a350e,0.9
0x1E8E4445f7736084A48c3cca4Cf3d148EC6CB3fC,0.9
0x4Ab24e4d7dCf9C6a37CB4F7841933231675cCC62,0.9
0x4b7292679d439ccd83b972a5ff848b47391affca,0.9
0xce9f054A0Db2ffe95c2903063c8fbffBe76D9e84,0.9
0x9325564ADe7683706107685Cf1993678B1163261,0.9
0x609470c2f08ff626078ba64ceb905d73b155089d,0.9
0x2b5a0be5940b63de1eddccca7bd977357e2488ed,0.9
0x883ce32E186c69559E94C8BA276BfC4322Fc194a,0.9
0x5Ba7Be25e471DADFfCB4EFfDCc0dd006408B83fE,0.9
0x48b576c87e788a762D6f95A456f2A39113b46950,0.9
